image	class0	class1	class2	class3	class4	class5	predicted_class
TFRecord	1.4143273e-10	3.475826e-05	0.9999641	1.0729909e-06	3.266845e-08	1.5603842e-10	2
TFRecord	1.4514532e-09	2.753119e-05	0.99950016	0.00047208043	2.6860724e-07	1.3582085e-09	2
TFRecord	6.9922035e-10	3.1998807e-05	0.99994993	1.8016157e-05	9.147575e-08	7.2635614e-10	2
TFRecord	1.1813795e-09	4.588721e-05	0.9998479	0.000106110136	1.6874378e-07	1.1356125e-09	2
TFRecord	8.988504e-10	1.579953e-05	0.9996358	0.000348135	1.9439311e-07	8.467756e-10	2
TFRecord	4.6139192e-10	5.717595e-05	0.99993277	9.897435e-06	8.983058e-08	4.843792e-10	2
TFRecord	2.5923105e-10	5.335436e-06	0.999918	7.654363e-05	7.940948e-08	2.5275695e-10	2
TFRecord	1.05772544e-10	1.9408159e-05	0.99997735	3.252852e-06	4.022812e-08	1.1307874e-10	2
TFRecord	7.215257e-11	9.4294855e-06	0.9999862	4.465546e-06	4.1913413e-08	7.724867e-11	2
TFRecord	2.4243213e-10	3.3004828e-05	0.99995947	7.3758647e-06	1.1863451e-07	2.5672003e-10	2
TFRecord	5.496715e-10	1.7507253e-05	0.99990916	7.3183306e-05	1.367233e-07	5.374435e-10	2
TFRecord	8.822567e-11	8.570414e-06	0.99998844	2.8263978e-06	7.227626e-08	9.417978e-11	2
TFRecord	4.769001e-10	2.9707051e-05	0.99996233	7.774797e-06	1.9305634e-07	5.001933e-10	2
TFRecord	4.769001e-10	2.9707051e-05	0.99996233	7.774797e-06	1.9305634e-07	5.001933e-10	2
TFRecord	2.5192473e-10	6.608475e-06	0.99991393	7.934251e-05	1.4726058e-07	2.4349944e-10	2
TFRecord	2.0937838e-10	1.668773e-05	0.9999757	7.4106247e-06	1.9581081e-07	2.1188122e-10	2
TFRecord	1.0409388e-09	2.8396244e-05	0.99963844	0.00033243862	7.150493e-07	9.514624e-10	2
TFRecord	2.07728e-10	1.3493442e-05	0.9999758	1.061098e-05	1.2421128e-07	2.066062e-10	2
TFRecord	2.5552277e-10	1.3881336e-05	0.9999826	3.32698e-06	1.970213e-07	2.7068695e-10	2
TFRecord	8.975896e-10	1.680104e-05	0.9993481	0.0006344281	7.66519e-07	8.0883317e-10	2
TFRecord	7.8572954e-10	1.7750428e-05	0.9997391	0.00024269495	4.227557e-07	7.259357e-10	2
TFRecord	3.1252267e-10	8.529108e-06	0.9998864	0.00010475081	2.4920178e-07	2.9298877e-10	2
TFRecord	3.3609848e-10	1.1879193e-05	0.99998367	4.1545436e-06	2.441358e-07	3.5462464e-10	2
TFRecord	7.467507e-10	6.9180824e-06	0.9996754	0.00031645998	1.1819517e-06	7.0106865e-10	2
TFRecord	1.9776845e-10	1.3893489e-05	0.99998415	1.7177017e-06	2.8413592e-07	2.0932345e-10	2
TFRecord	4.398995e-11	3.532234e-06	0.99999547	8.7677824e-07	9.977057e-08	4.7164897e-11	2
TFRecord	6.1387767e-10	9.514836e-06	0.99970824	0.00028160776	6.366353e-07	5.671487e-10	2
TFRecord	2.2244859e-10	1.5328254e-05	0.99998176	2.5869465e-06	1.9006244e-07	2.3612598e-10	2
TFRecord	2.5757274e-10	1.4124387e-05	0.9999815	4.1386656e-06	2.784416e-07	2.7040645e-10	2
TFRecord	1.3309415e-10	6.6457974e-06	0.99999154	1.6056302e-06	2.0876352e-07	1.424228e-10	2
TFRecord	1.01640904e-10	7.2528355e-06	0.99999225	3.3412906e-07	1.12372575e-07	1.1067962e-10	2
TFRecord	1.0747231e-10	5.445635e-06	0.9999932	1.1213893e-06	2.3477571e-07	1.1578933e-10	2
TFRecord	2.754885e-10	5.1097177e-06	0.9999378	5.6798195e-05	3.2382331e-07	2.6326735e-10	2
TFRecord	1.6086716e-09	2.2288217e-05	0.99945754	0.00051951176	7.0703436e-07	1.4677214e-09	2
TFRecord	1.5930028e-09	1.9280082e-05	0.99944097	0.0005390602	6.7000104e-07	1.456042e-09	2
TFRecord	2.4516829e-09	3.662817e-05	0.99931276	0.0006495558	1.0279621e-06	2.2140618e-09	2
TFRecord	9.669854e-11	9.058575e-06	0.99998915	1.6518003e-06	7.806158e-08	1.06448565e-10	2
TFRecord	5.003606e-10	9.355281e-06	0.9998658	0.00012425671	7.4264807e-07	4.830404e-10	2
TFRecord	2.2645025e-10	6.456575e-06	0.9999583	3.521859e-05	1.5736387e-07	2.2245947e-10	2
TFRecord	2.225166e-10	7.2343887e-06	0.99998236	1.0102477e-05	2.0235412e-07	2.3186839e-10	2
TFRecord	3.0164815e-09	7.3555086e-05	0.99921465	0.000710764	9.823777e-07	2.7441236e-09	2
TFRecord	3.2850265e-09	9.9262536e-05	0.9989254	0.0009739328	1.3664187e-06	2.9683573e-09	2
TFRecord	7.919353e-10	5.0065035e-05	0.9999367	1.2913062e-05	3.3377515e-07	8.317365e-10	2
TFRecord	9.49006e-10	4.893208e-05	0.9996892	0.0002612855	4.3514032e-07	8.910598e-10	2
TFRecord	1.3270433e-10	2.13826e-05	0.99997663	1.9281356e-06	1.4224226e-07	1.4339076e-10	2
TFRecord	3.124721e-10	3.2254626e-05	0.99996114	6.1715923e-06	3.4680247e-07	3.2976702e-10	2
TFRecord	1.44249e-09	6.428715e-05	0.9996934	0.00024173401	7.2404725e-07	1.3451231e-09	2
TFRecord	7.800592e-10	4.2015698e-05	0.99994636	1.1164055e-05	4.3346483e-07	8.093622e-10	2
TFRecord	2.5303204e-10	1.8965158e-05	0.9999758	5.0358117e-06	1.9674732e-07	2.7257718e-10	2
TFRecord	3.813051e-10	2.7644868e-05	0.99996424	7.767335e-06	3.1292925e-07	4.0557366e-10	2
TFRecord	8.8692254e-10	4.5522847e-05	0.9998437	0.00011012323	6.32338e-07	8.558621e-10	2
TFRecord	2.8887043e-10	2.0011583e-05	0.9999745	5.0709086e-06	3.7139435e-07	3.0534958e-10	2
TFRecord	3.4044842e-10	3.3863915e-05	0.9999608	5.0974622e-06	2.6293307e-07	3.643704e-10	2
TFRecord	1.0214812e-09	5.540745e-05	0.9999113	3.2673877e-05	6.224834e-07	1.0069191e-09	2
TFRecord	2.4061228e-10	1.9948917e-05	0.9999757	4.067136e-06	4.1325572e-07	2.5644034e-10	2
TFRecord	4.5847803e-10	3.3402117e-05	0.99995637	9.942086e-06	3.9653742e-07	4.874268e-10	2
TFRecord	1.4480426e-09	0.00010133722	0.999772	0.00012586916	8.696214e-07	1.3781365e-09	2
TFRecord	4.4737952e-10	2.8833874e-05	0.9999397	3.1286876e-05	2.8906916e-07	4.4994247e-10	2
TFRecord	4.0988118e-10	5.1991967e-05	0.99994135	6.304527e-06	3.9778516e-07	4.3566678e-10	2
TFRecord	1.8295976e-09	0.00013756275	0.9996543	0.00020726396	9.1797386e-07	1.7289077e-09	2
TFRecord	1.570152e-09	6.700476e-05	0.999803	0.00012901484	1.0600393e-06	1.5065454e-09	2
TFRecord	3.6169473e-10	2.2727518e-05	0.9999566	2.0258372e-05	3.0552988e-07	3.6568476e-10	2
TFRecord	4.2488288e-10	3.731509e-05	0.99989974	6.254217e-05	3.678232e-07	4.1300388e-10	2
TFRecord	1.1424234e-09	0.000151952	0.99982125	2.5925165e-05	7.853368e-07	1.1377611e-09	2
TFRecord	2.575339e-10	2.2488328e-05	0.9999604	1.680037e-05	2.358924e-07	2.6071478e-10	2
TFRecord	3.1638195e-10	5.1248608e-05	0.9999449	3.42302e-06	3.268389e-07	3.4139302e-10	2
TFRecord	2.6828126e-10	4.1172574e-05	0.9999552	3.2253247e-06	4.2346653e-07	2.864005e-10	2
TFRecord	8.847799e-10	8.153576e-05	0.9998149	0.000102803155	7.100371e-07	8.478065e-10	2
TFRecord	5.228604e-10	7.727433e-05	0.9999174	4.9813393e-06	4.106067e-07	5.5345695e-10	2
TFRecord	3.6793166e-10	5.6361827e-05	0.9999367	6.550796e-06	4.0305224e-07	3.8039963e-10	2
TFRecord	4.724886e-10	4.359032e-05	0.99986243	9.366262e-05	2.6267787e-07	4.658923e-10	2
TFRecord	1.5357217e-10	6.975593e-05	0.99992836	1.7441602e-06	1.3127628e-07	1.6689762e-10	2
TFRecord	2.1361812e-10	3.459357e-05	0.99996114	4.128934e-06	1.3554298e-07	2.3367755e-10	2
TFRecord	5.6492405e-10	7.760758e-05	0.9998215	0.00010061113	3.0986135e-07	5.594501e-10	2
TFRecord	3.383116e-10	8.310245e-05	0.9999112	5.5403875e-06	2.3491121e-07	3.626433e-10	2
TFRecord	3.77084e-10	7.132433e-05	0.9999218	6.667298e-06	2.801699e-07	4.013625e-10	2
TFRecord	2.423294e-10	3.6182042e-05	0.99994195	2.1704349e-05	1.0974092e-07	2.4950014e-10	2
TFRecord	1.2313378e-09	9.041449e-05	0.9991942	0.00071495556	4.7580335e-07	1.1708478e-09	2
TFRecord	2.250765e-09	0.00016226729	0.99917185	0.0006652952	5.94826e-07	2.1406201e-09	2
TFRecord	7.1295786e-10	0.00013057142	0.9998541	1.5182857e-05	2.3025495e-07	7.5418205e-10	2
TFRecord	2.7551886e-10	2.5775613e-05	0.99990296	7.116651e-05	1.1151833e-07	2.7801364e-10	2
TFRecord	1.1611134e-09	0.00010239978	0.9996648	0.0002325321	3.5466564e-07	1.1313599e-09	2
TFRecord	9.733536e-10	0.00013944556	0.9998331	2.7202666e-05	2.1167644e-07	1.0381392e-09	2
TFRecord	2.2562179e-10	0.00019575184	0.99980265	1.5747847e-06	1.0352851e-07	2.4543015e-10	2
TFRecord	2.2240998e-09	0.00019861432	0.99952555	0.00027538993	4.409055e-07	2.1674875e-09	2
TFRecord	7.0169937e-10	5.0998457e-05	0.9996019	0.00034697706	1.5206308e-07	6.90395e-10	2
TFRecord	7.708166e-10	0.000107529886	0.999843	4.930435e-05	1.6219e-07	8.112768e-10	2
TFRecord	1.2709843e-09	8.488634e-05	0.99905115	0.00086352054	3.9214916e-07	1.2229583e-09	2
TFRecord	6.1985337e-09	0.00041886405	0.9947319	0.004848181	1.0672554e-06	5.6659943e-09	2
