image	class0	class1	class2	class3	class4	class5	predicted_class
TFRecord	3.0051164e-09	0.016439607	0.98342484	0.00013525793	2.866496e-07	2.9704117e-09	2
TFRecord	7.1890645e-09	0.0030148795	0.996931	5.3137406e-05	9.444577e-07	7.856839e-09	2
TFRecord	1.9207723e-08	0.034009483	0.9658916	9.701473e-05	1.8802456e-06	1.8365652e-08	2
TFRecord	3.2893201e-09	0.0013905664	0.9985384	7.0693815e-05	3.9720354e-07	3.436425e-09	2
TFRecord	8.342029e-09	0.003967531	0.99569666	0.00033502266	7.47568e-07	8.986571e-09	2
TFRecord	2.0836486e-08	0.046707414	0.9531621	0.00012707074	3.3677316e-06	1.9752138e-08	2
TFRecord	9.839669e-10	0.00050459703	0.99947435	2.0941909e-05	1.6744691e-07	1.0478429e-09	2
TFRecord	3.4860623e-09	0.007873996	0.99167496	0.00045065297	4.70045e-07	3.4507492e-09	2
TFRecord	1.8736404e-09	0.0068630003	0.9930663	7.0471804e-05	2.1829523e-07	1.884838e-09	2
TFRecord	9.203304e-09	0.022569142	0.9773222	0.00010718296	1.437941e-06	8.927655e-09	2
TFRecord	3.3150616e-09	0.00590774	0.9940461	4.5893805e-05	2.5793145e-07	3.628702e-09	2
TFRecord	2.4447364e-09	0.006362955	0.99352276	0.00011388425	3.448187e-07	2.431497e-09	2
TFRecord	1.3266308e-08	0.033034112	0.9668997	6.4039574e-05	2.0994664e-06	1.2456816e-08	2
TFRecord	1.3266308e-08	0.033034112	0.9668997	6.4039574e-05	2.0994664e-06	1.2456816e-08	2
TFRecord	1.5774055e-09	0.0014822902	0.9984946	2.2951952e-05	1.634404e-07	1.6914701e-09	2
TFRecord	3.3502054e-10	0.00049698655	0.9994874	1.5563784e-05	3.164282e-08	3.532163e-10	2
TFRecord	7.848904e-09	0.0045231367	0.9954209	5.530906e-05	7.4779865e-07	8.245781e-09	2
TFRecord	5.384173e-10	0.00074868783	0.9992192	3.218554e-05	4.8002548e-08	5.587687e-10	2
TFRecord	7.1436936e-09	0.0247807	0.9751544	6.395401e-05	8.8006226e-07	6.7215375e-09	2
TFRecord	8.320559e-09	0.0061924537	0.9937366	7.0000024e-05	8.0921825e-07	8.628382e-09	2
TFRecord	8.474788e-09	0.00406104	0.99592847	8.9684e-06	1.4650748e-06	8.865287e-09	2
TFRecord	1.0829782e-09	0.00072718266	0.99926764	4.9439477e-06	1.7353075e-07	1.1577226e-09	2
TFRecord	1.8027105e-08	0.035460096	0.96448374	5.4272594e-05	1.8743633e-06	1.6814587e-08	2
TFRecord	6.1706125e-09	0.010083861	0.989847	6.8721805e-05	4.7049815e-07	6.0948384e-09	2
TFRecord	1.6076484e-08	0.020680096	0.97925764	5.9141807e-05	2.978436e-06	1.524997e-08	2
TFRecord	1.3226783e-09	0.0051065753	0.9948218	7.149773e-05	1.02912786e-07	1.3303141e-09	2
TFRecord	7.585032e-09	0.0069023236	0.99303883	5.8075824e-05	6.961366e-07	7.702054e-09	2
TFRecord	8.389989e-09	0.020515185	0.9793788	0.00010512943	9.3729926e-07	7.903825e-09	2
TFRecord	1.9981302e-08	0.027256384	0.97268254	5.796598e-05	3.0428214e-06	1.886801e-08	2
TFRecord	1.1947172e-09	0.0028623524	0.9971131	2.4377905e-05	9.7558264e-08	1.1701488e-09	2
TFRecord	3.1430758e-10	0.00088502537	0.99909306	2.1897067e-05	2.1389667e-08	3.298102e-10	2
TFRecord	1.0044015e-09	0.002458263	0.9975254	1.614891e-05	1.0244353e-07	9.819845e-10	2
TFRecord	5.976086e-10	0.00035828407	0.99963546	6.08497e-06	7.7503685e-08	6.383072e-10	2
TFRecord	6.380138e-09	0.0029052757	0.99708515	8.2782235e-06	1.173805e-06	6.7175434e-09	2
TFRecord	6.315538e-09	0.0027657803	0.99722666	6.257018e-06	1.1518173e-06	6.5970625e-09	2
TFRecord	1.4785827e-08	0.0061766403	0.99380094	2.0245374e-05	2.142699e-06	1.5239651e-08	2
TFRecord	8.250825e-10	0.0011078558	0.9988268	6.5285e-05	9.090782e-08	8.377368e-10	2
TFRecord	4.364227e-09	0.010944904	0.9889208	0.00013391074	2.9495192e-07	4.4277737e-09	2
TFRecord	4.50659e-10	0.00016036397	0.99983144	8.077688e-06	6.993917e-08	4.779704e-10	2
