image	class0	class1	class2	class3	class4	class5	predicted_class
TFRecord	1.542223e-10	0.0013570833	5.2088026e-06	0.99863774	1.9653463e-09	1.5376352e-10	3
TFRecord	4.0332548e-10	0.008873331	8.34991e-05	0.9910432	7.2424147e-09	3.975984e-10	3
TFRecord	4.980019e-10	0.0019521475	0.00013553808	0.99791235	5.2656124e-09	4.8813315e-10	3
TFRecord	5.435656e-10	0.006051641	0.0001736794	0.99377465	4.9549667e-09	5.350609e-10	3
TFRecord	1.3935537e-10	0.004220453	2.3143084e-06	0.99577725	1.2817154e-09	1.3584008e-10	3
TFRecord	2.808827e-10	0.00021447956	1.4310266e-05	0.9997712	3.24192e-09	2.7567493e-10	3
TFRecord	3.7561507e-10	0.006055309	0.00010053616	0.99384415	6.3810757e-09	3.7000192e-10	3
TFRecord	3.2859834e-10	0.0018270175	1.3334901e-05	0.9981597	2.7876146e-09	3.1833658e-10	3
TFRecord	2.4476407e-10	0.0033979493	3.2736943e-06	0.9965988	3.2284913e-09	2.4039917e-10	3
TFRecord	1.2408153e-09	0.0020396598	3.8399747e-05	0.997922	7.91701e-09	1.1962294e-09	3
TFRecord	2.347824e-10	0.00023898011	7.679067e-06	0.9997533	2.5289817e-09	2.3042931e-10	3
TFRecord	4.311649e-10	0.009656321	9.996588e-06	0.99033374	5.4653033e-09	4.1948695e-10	3
TFRecord	5.5115684e-10	0.019684557	3.269197e-05	0.9802828	6.730467e-09	5.3801974e-10	3
TFRecord	1.6803978e-10	0.0071940473	8.7935484e-07	0.99280506	2.9813727e-09	1.632392e-10	3
TFRecord	4.0686776e-10	0.01620832	3.928416e-06	0.9837878	5.7977796e-09	3.9733583e-10	3
TFRecord	4.2093704e-10	0.00560471	2.388308e-05	0.9943715	6.8282127e-09	4.0940726e-10	3
TFRecord	2.9625696e-10	0.00026359878	8.347046e-06	0.999728	3.7466275e-09	2.9068095e-10	3
TFRecord	1.6739074e-10	0.0046052313	1.4410815e-06	0.9953934	2.5162967e-09	1.6143809e-10	3
TFRecord	5.5025057e-10	0.0007537392	4.2620068e-06	0.99924207	3.4954066e-09	5.1863885e-10	3
TFRecord	3.4483005e-10	0.0014135209	6.2100976e-06	0.9985802	3.4759176e-09	3.35767e-10	3
TFRecord	3.542047e-10	0.0007811695	1.1574353e-05	0.9992073	4.9988444e-09	3.504656e-10	3
TFRecord	1.2323508e-09	0.0023520852	4.5382138e-05	0.9976025	9.374501e-09	1.1792032e-09	3
TFRecord	2.2112548e-10	0.008294588	6.651712e-07	0.9917047	3.5393104e-09	2.1398641e-10	3
TFRecord	6.3893635e-10	0.0014505864	3.0017313e-06	0.9985464	4.591409e-09	5.9880834e-10	3
TFRecord	3.5257233e-10	0.013562138	4.6260243e-06	0.98643327	4.8600794e-09	3.3647435e-10	3
TFRecord	9.132786e-10	0.003053988	6.4164724e-06	0.99693966	6.079586e-09	8.600283e-10	3
TFRecord	8.911672e-10	0.016451456	3.133118e-05	0.98351717	9.125934e-09	8.429069e-10	3
TFRecord	5.7999433e-10	0.0018850075	2.6882929e-06	0.9981123	4.6871853e-09	5.4256033e-10	3
